-3.715130350128281833e+01,-1.615199446325495956e+02
-3.515656790306142909e+01,-1.622432306242705238e+02
-3.314934688707538157e+01,-1.629410509846430273e+02
-3.112968770361087678e+01,-1.636139174101425056e+02
-2.909800957015066913e+01,-1.642613666443690192e+02
-2.705464410287832067e+01,-1.648831841006773118e+02
-2.499991280393319215e+01,-1.654791904349714571e+02
-2.293415103323365400e+01,-1.660491857765253485e+02
-2.085767739888611061e+01,-1.665930156100425847e+02
-1.877084365106908237e+01,-1.671104667551376224e+02
-1.667397807030993562e+01,-1.676013840157926609e+02
-1.456742086849411777e+01,-1.680655971615525175e+02
-1.245151526134396747e+01,-1.685029396061864873e+02
-1.032661167157394999e+01,-1.689132413749167938e+02
-8.193053830236795676e+00,-1.692963530100033154e+02
-6.051195536847981060e+00,-1.696521164989544843e+02
-3.901391568300930146e+00,-1.699803811511241065e+02
-1.743996337206610292e+00,-1.702810051255898998e+02
4.206286799788401254e-01,-1.705538440603435220e+02
2.592130007232640310e+00,-1.707987730765034939e+02
4.770141653290238537e+00,-1.710156568074638415e+02
6.954300586728166422e+00,-1.712043718335649203e+02
9.144242745834745278e+00,-1.713648005176376614e+02
1.133959590567653919e+01,-1.714968219924231789e+02
1.353998860808135163e+01,-1.716003239573929022e+02
1.574505679297980976e+01,-1.716752098210474742e+02
1.795442485480391070e+01,-1.717213757069362714e+02
2.016771880931730010e+01,-1.717387265224624286e+02
2.238454898955580319e+01,-1.717271569567346603e+02
2.460472651655560128e+01,-1.716867772402251262e+02
2.682761857430313768e+01,-1.716172359827386344e+02
